htid	page_number	page_tokens
coo.31924105504561	1	['book', 'cornell', 'edition', 'gordimer', 'nadine', 'new', 'notable', 'novel', 'pickup', 'pr', 'times', 'university', 'vi', 'york']
coo.31924105504561	2	['date', 'due', 'gaylord', 'printed']
coo.31924105504561	3	['ability', 'aims', 'along', 'best', 'beyond', 'boston', 'class', 'cleveland', 'concern', 'consequences', 'dealer', 'delineate', 'delivered', 'depth', 'disaffection', 'drive', 'economic', 'enables', 'exile', 'globe', 'good', 'gordimer', 'gordimer', 'gordimer', 'gordimer', 'harsh', 'higher', 'home', 'honest', 'human', 'ibrahim', 'identities', 'individual', 'inquirer', 'insight', 'julie', 'kakutani', 'lend', 'library', 'like', 'like', 'live', 'meaning', 'michiko', 'mindful', 'much', 'narrative', 'national', 'new', 'newsday', 'nobel', 'novel', 'novels', 'one', 'painfully', 'paints', 'philadelphia', 'pickup', 'pickup', 'pickup', 'picture', 'plain', 'poignancy', 'political', 'politics', 'power', 'praise', 'prejudice', 'prize', 'psychological', 'psychology', 'punches', 'racial', 'ranks', 'redefines', 'relationship', 'reminds', 'sentences', 'shrinking', 'staccato', 'stays', 'stomach', 'stories', 'striving', 'times', 'times', 'transcends', 'truths', 'university', 'unusual', 'us', 'wonderful', 'work', 'world', 'writer', 'york']
coo.31924105504561	4	['con', 'r']
coo.31924105504561	5	['access', 'africa', 'books', 'books', 'call', 'collection', 'discussion', 'discussion', 'foundation', 'foundation', 'foundation', 'gordimer', 'great', 'great', 'guides', 'guides', 'gun', 'history', 'hope', 'house', 'includes', 'johannesburg', 'last', 'literature', 'lives', 'living', 'mail', 'nadine', 'nobel', 'novel', 'online', 'pickup', 'please', 'prize', 'received', 'recent', 'reminiscences', 'request', 'site', 'site', 'south', 'supplies', 'visit', 'web', 'web', 'work']
coo.31924105504561	6	['accompany', 'apartheid', 'black', 'bourgeois', 'burgers', 'century', 'clingman', 'companions', 'conservationist', 'country', 'daughter', 'david', 'david', 'days', 'edited', 'embrace', 'essays', 'essential', 'feet', 'footprint', 'friday', 'gesture', 'goldblatt', 'goldblatt', 'gordimer', 'guest', 'gun', 'history', 'honor', 'hope', 'house', 'interpreters', 'julys', 'jump', 'late', 'lifetimes', 'living', 'livingstone', 'loving', 'lying', 'mines', 'nadine', 'nature', 'none', 'notes', 'novels', 'occasion', 'people', 'places', 'politics', 'publication', 'selected', 'serpent', 'six', 'soft', 'soldiers', 'something', 'son', 'sport', 'stephen', 'stories', 'stories', 'stories', 'story', 'strangers', 'voice', 'works', 'world', 'world', 'writing', 'writing']
coo.31924105504561	7	[]
coo.31924105504561	8	['actual', 'africa', 'africa', 'alexander', 'aliens', 'america', 'america', 'america', 'another', 'apollo', 'appreciated', 'arab', 'arab', 'arabs', 'auckland', 'australia', 'australia', 'australia', 'author', 'author', 'avenue', 'avenue', 'binding', 'book', 'book', 'books', 'books', 'books', 'books', 'books', 'books', 'borges', 'business', 'camberwell', 'camberwell', 'canada', 'canada', 'canada', 'cape', 'cataloged', 'centre', 'characters', 'children', 'circulated', 'cm', 'coincidental', 'coleman', 'collected', 'community', 'condition', 'condition', 'condition', 'congress', 'consent', 'copyright', 'copyright', 'copyright', 'countries', 'countries', 'countries', 'country', 'cover', 'dead', 'delhi', 'designed', 'distribution', 'division', 'division', 'division', 'division', 'drive', 'dublin', 'east', 'edited', 'edition', 'editions', 'eglinton', 'either', 'electronic', 'electronic', 'encourage', 'england', 'england', 'entirely', 'establishments', 'ethnic', 'events', 'except', 'extract', 'farrar', 'felix', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fiction', 'fictitiously', 'first', 'follows', 'foreign', 'form', 'giroux', 'gordimer', 'gordimer', 'green', 'group', 'group', 'group', 'group', 'group', 'group', 'group', 'happiness', 'hardcover', 'hired', 'horized', 'house', 'hudson', 'illegal', 'illegal', 'imagination', 'imposed', 'incidents', 'including', 'india', 'india', 'internet', 'ireland', 'ireland', 'isbn', 'isbn', 'isbn', 'johannesburg', 'jonathan', 'jonathan', 'jorge', 'kessler', 'kessler', 'kodama', 'law', 'lent', 'library', 'licensing', 'limited', 'lippincott', 'living', 'locales', 'london', 'london', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'luis', 'maria', 'markets', 'married', 'materials', 'means', 'member', 'nadine', 'nadine', 'names', 'new', 'new', 'new', 'new', 'new', 'north', 'note', 'nz', 'offices', 'ontario', 'orl', 'orl', 'otherwise', 'otherwise', 'panchsheel', 'park', 'participate', 'pbk', 'pearson', 'pearson', 'pearson', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'people', 'permission', 'permission', 'permission', 'persons', 'pickup', 'piracy', 'places', 'please', 'plomer', 'poems', 'poems', 'printed', 'prior', 'product', 'pty', 'pty', 'published', 'published', 'published', 'published', 'published', 'publisher', 'publisher', 'publishers', 'punishable', 'purchase', 'purchaser', 'putnam', 'pvt', 'random', 'registered', 'relations', 'resemblance', 'reserved', 'resold', 'rich', 'righted', 'rights', 'rights', 'road', 'rosebank', 'rosedale', 'scanning', 'selected', 'shall', 'shore', 'similar', 'sold', 'south', 'south', 'special', 'st', 'states', 'states', 'states', 'stephen', 'stephen', 'stephen', 'strand', 'strand', 'straus', 'street', 'sturdee', 'subject', 'subsequent', 'suite', 'support', 'title', 'toronto', 'trade', 'translated', 'translation', 'united', 'united', 'united', 'uploading', 'usa', 'used', 'used', 'used', 'via', 'via', 'victoria', 'viking', 'way', 'william', 'without', 'without', 'without', 'women', 'work', 'york', 'york', 'zealand', 'zealand']
coo.31924105504561	9	['hugo', 'oriane', 'reinhold']
coo.31924105504561	10	[]
