htid	page_number	page_tokens
hvd.32044121366223	1	['author', 'bestseller', 'bone', 'booker', 'classics', 'clocks', 'contemporary', 'dave', 'doubt', 'eggers', 'inalist', 'literature', 'man', 'modern', 'new', 'novel', 'one', 'prize', 'read', 'student', 'times', 'york']
hvd.32044121366223	2	['ability', 'accomplished', 'act', 'almost', 'another', 'atlas', 'atlas', 'atlas', 'atlas', 'audacious', 'bite', 'cast', 'characters', 'civilization', 'closely', 'cloud', 'cloud', 'cloud', 'cloud', 'coalesce', 'crackles', 'creating', 'delight', 'dizzy', 'eager', 'ear', 'elegant', 'energetic', 'energy', 'entertaining', 'entertainment', 'exciting', 'exhilarating', 'exuberant', 'fizzy', 'fully', 'glows', 'grapplings', 'great', 'hear', 'history', 'hugely', 'incident', 'ingenuity', 'inside', 'journal', 'keep', 'language', 'library', 'listen', 'make', 'masterful', 'masterpiece', 'meet', 'mitchell', 'mitchell', 'mitchell', 'mitchell', 'mitchell', 'nabokovian', 'narration', 'narrative', 'narrative', 'new', 'new', 'newsweek', 'observer', 'overwhelming', 'pages', 'play', 'possibility', 'praise', 'pregnant', 'prose', 'provocative', 'realized', 'ride', 'riotous', 'selfhood', 'sense', 'shape', 'story', 'story', 'story', 'storytelling', 'storytelling', 'surfeit', 'talent', 'texture', 'time', 'time', 'times', 'turning', 'uriknowables', 'varied', 'village', 'voice', 'washington', 'weekly', 'whispering', 'wild', 'wonderful', 'word', 'work', 'world', 'worlds', 'york', 'york']
hvd.32044121366223	3	['ambitious', 'amd', 'astonishing', 'astounding', 'atlas', 'atlas', 'audacious', 'benign', 'book', 'book', 'bookpage', 'box', 'brilliantly', 'close', 'cloud', 'cloud', 'concerns', 'content', 'cornucopia', 'david', 'details', 'diego', 'different', 'ecstatic', 'elegiac', 'endangered', 'entertainment', 'es', 'evening', 'exploration', 'exuberance', 'feat', 'felicitious', 'festival', 'fiction', 'fly', 'gift', 'greed', 'hard', 'haruki', 'head', 'highbrow', 'historical', 'hit', 'ideas', 'inhabits', 'inventiveness', 'knits', 'language', 'like', 'linguistic', 'london', 'london', 'london', 'maximum', 'meditation', 'might', 'miraculous', 'mitchell', 'mitchell', 'mitchell', 'mitchell', 'mitchells', 'mixes', 'mlountain', 'murakami', 'musical', 'must', 'news', 'newsday', 'next', 'novel', 'one', 'one', 'open', 'pandora', 'part', 'pastiche', 'pleasure', 'political', 'power', 'preposterously', 'prescience', 'pulp', 'puzzles', 'radiant', 'reading', 'remarkable', 'revolutionary', 'riveting', 'rocky', 'san', 'science', 'several', 'someone', 'sprawling', 'standard', 'stunning', 'suggests', 'sunday', 'symphony', 'tempting', 'things', 'think', 'thriller', 'tim', 'time', 'times', 'together', 'virtuosity', 'voices', 'way', 'way', 'whole', 'whorra', 'wrote']
hvd.32044121366223	4	[]
hvd.32044121366223	5	['atlas', 'autumns', 'black', 'bone', 'clocks', 'cloud', 'david', 'de', 'gdream', 'ghostwritten', 'green', 'house', 'jacob', 'mitchell', 'number', 'slade', 'swan', 'thousand', 'zoet']
hvd.32044121366223	6	['house', 'novel', 'paperbacks', 'random', 'trade']
hvd.32044121366223	7	['actual', 'address', 'america', 'atlas', 'author', 'axe', 'book', 'britain', 'casey', 'characters', 'cloud', 'cm', 'coincidental', 'colophon', 'congress', 'copyright', 'data', 'david', 'david', 'david', 'dead', 'design', 'division', 'division', 'entirely', 'fatalism', 'fate', 'fiction', 'fiction', 'fiction', 'fictitiously', 'great', 'group', 'hampton', 'headline', 'hodder', 'hodder', 'house', 'house', 'house', 'house', 'house', 'house', 'imagination', 'imprint', 'incidents', 'library', 'living', 'london', 'mitchell', 'mitchell', 'mitchell', 'names', 'new', 'novel', 'originally', 'paper', 'paperbacks', 'paperbacks', 'persons', 'places', 'printed', 'products', 'published', 'published', 'publishing', 'random', 'random', 'random', 'random', 'random', 'random', 'reincarnation', 'resemblance', 'reserved', 'rights', 'states', 'states', 'stoughton', 'title', 'trade', 'trade', 'trademarks', 'united', 'united', 'used', 'website', 'work', 'york']
hvd.32044121366223	8	['grandparents', 'na']
hvd.32044121366223	9	['account', 'acknowledgments', 'admits', 'aid', 'amber', 'angeles', 'apart', 'authors', 'ayrs', 'bell', 'berri', 'books', 'brahma', 'brown', 'burlinson', 'cabello', 'carole', 'certain', 'chapters', 'character', 'chatham', 'david', 'david', 'david', 'de', 'debts', 'definitive', 'delius', 'douglas', 'ebershoff', 'emerson', 'eric', 'ewing', 'factual', 'fenby', 'freely', 'hester', 'history', 'icon', 'inspiration', 'islands', 'jan', 'jenny', 'john', 'jonathan', 'junction', 'king', 'king', 'knew', 'koerner', 'lacaze', 'land', 'late', 'letters', 'manuel', 'margo', 'marin', 'marnix', 'michael', 'mike', 'mitchell', 'montefiore', 'moriori', 'moyers', 'neef', 'nietzsche', 'originally', 'owe', 'pearce', 'pegg', 'poem', 'powell', 'provides', 'quotes', 'read', 'researched', 'robert', 'rodney', 'roker', 'sabine', 'scenes', 'scholarship', 'scott', 'shaw', 'society', 'sons', 'steve', 'stewart', 'susan', 'travel', 'van', 'verplancke', 'vyvyan', 'welch', 'work', 'zachry', 'zandt']
hvd.32044121366223	10	[]
