htid	page_number	page_tokens
mdp.39015069333014	1	[]
mdp.39015069333014	2	['amsterdam', 'atonement', 'black', 'cement', 'child', 'comfort', 'daydreamer', 'dogs', 'enduring', 'first', 'garden', 'ian', 'innocent', 'last', 'love', 'love', 'mcewan', 'rites', 'saturday', 'sheets', 'strangers', 'time']
mdp.39015069333014	3	['beach', 'cape', 'chesil', 'ian', 'jonathan', 'london', 'mcewan', 'oooooooooooooooooooooooooooooooooooooooo']
mdp.39015069333014	4	['act', 'addresses', 'asserted', 'author', 'available', 'binding', 'book', 'book', 'book', 'bound', 'bridge', 'britain', 'britain', 'british', 'cape', 'cape', 'caslon', 'catalogue', 'certno', 'cip', 'circulated', 'clays', 'companies', 'condition', 'condition', 'condition', 'consent', 'copyright', 'copyright', 'council', 'cover', 'designs', 'first', 'forest', 'form', 'found', 'grangemouth', 'great', 'great', 'group', 'group', 'hired', 'house', 'house', 'house', 'ian', 'ian', 'identified', 'imposed', 'including', 'isbn', 'ives', 'jonathan', 'jonathan', 'lent', 'library', 'limited', 'limited', 'limited', 'london', 'ltd', 'mcewan', 'mcewan', 'mixed', 'otherwise', 'otherwise', 'palimpsest', 'patents', 'pic', 'printed', 'prior', 'production', 'published', 'published', 'published', 'publisher', 'purchaser', 'random', 'random', 'random', 'record', 'reg', 'resold', 'right', 'road', 'shall', 'similar', 'sold', 'sources', 'st', 'stewardship', 'stirlingshire', 'subject', 'subsequent', 'swiv', 'trade', 'typeset', 'vauxhall', 'way', 'within', 'without', 'without', 'work']
mdp.39015069333014	5	['annalena']
mdp.39015069333014	6	[]
mdp.39015069333014	7	['oooooooooooooooo']
mdp.39015069333014	8	[]
mdp.39015069333014	9	['arrived', 'away', 'bed', 'bedcover', 'belonging', 'car', 'child', 'circumstances', 'coast', 'college', 'completely', 'condescended', 'conversation', 'couple', 'decorous', 'difficulties', 'door', 'dorset', 'driven', 'early', 'easy', 'educated', 'edward', 'evening', 'father', 'feared', 'fine', 'first', 'floor', 'florence', 'florence', 'forgotten', 'friends', 'georgian', 'gone', 'hand', 'hand', 'hotel', 'hotel', 'human', 'impossible', 'inn', 'jolly', 'july', 'lived', 'many', 'mary', 'mention', 'mid', 'misbehaved', 'mother', 'mother', 'narrow', 'never', 'never', 'next', 'night', 'occasion', 'old', 'open', 'oxford', 'parents', 'perfect', 'plainly', 'pure', 'purpose', 'rather', 'raucous', 'reception', 'room', 'room', 'sat', 'school', 'service', 'sexual', 'significantly', 'sitting', 'small', 'smooth', 'spirits', 'st', 'startlingly', 'stayed', 'stretched', 'superficially', 'supper', 'though', 'time', 'tiny', 'trips', 'uplifting', 'virgins', 'visible', 'weather', 'wedding', 'wedding', 'well', 'whereas', 'white', 'whose', 'young']
mdp.39015069333014	10	['abroad', 'according', 'adequate', 'backs', 'balcony', 'beach', 'began', 'boards', 'bowed', 'business', 'channel', 'cherry', 'chesil', 'closed', 'closely', 'comically', 'comings', 'contradicting', 'corridor', 'corridor', 'cuisine', 'decorated', 'dinner', 'dishes', 'eat', 'eating', 'edward', 'english', 'english', 'enough', 'entirely', 'evening', 'except', 'expression', 'faces', 'fault', 'florence', 'formal', 'french', 'gave', 'generally', 'gesture', 'glazed', 'goings', 'good', 'hands', 'history', 'honeymoon', 'hoped', 'infinite', 'items', 'jackets', 'known', 'lads', 'linen', 'made', 'man', 'manner', 'many', 'meal', 'melon', 'might', 'minded', 'moment', 'much', 'nearby', 'nervous', 'oak', 'one', 'onto', 'open', 'outside', 'outside', 'parked', 'partially', 'plate', 'polite', 'portion', 'protective', 'proud', 'quite', 'raining', 'rooms', 'satirical', 'seemed', 'served', 'set', 'shingle', 'shook', 'silence', 'silver', 'single', 'slice', 'slices', 'sniggering', 'squeak', 'starched', 'suite', 'tablecloth', 'tentative', 'terrace', 'think', 'thought', 'time', 'tolerated', 'trolley', 'two', 'view', 'village', 'visitors', 'waited', 'warm', 'warmers', 'watched', 'waxed', 'went', 'windows', 'young', 'youths']
mdp.39015069333014	11	['advance', 'along', 'bank', 'beach', 'beef', 'beginnings', 'bending', 'beyond', 'bluish', 'boiled', 'bottle', 'broad', 'cabbages', 'chairs', 'change', 'clinging', 'consider', 'crossed', 'dark', 'darting', 'delicate', 'descended', 'desperate', 'drifting', 'dropping', 'edward', 'effect', 'embellished', 'extravagant', 'feet', 'finished', 'fleet', 'florence', 'flowering', 'footpath', 'france', 'garden', 'gentle', 'gentlemen', 'giant', 'giddy', 'gravy', 'grey', 'heaped', 'heightened', 'hissing', 'hue', 'known', 'label', 'lagoon', 'lane', 'lawn', 'leave', 'leaves', 'led', 'light', 'like', 'like', 'lined', 'looked', 'made', 'many', 'mentioned', 'mind', 'mist', 'mossy', 'motion', 'muddy', 'order', 'particular', 'pebbles', 'plan', 'plans', 'plans', 'potatoes', 'profusion', 'red', 'region', 'rhubarb', 'road', 'roasted', 'rose', 'rough', 'sea', 'sea', 'see', 'sensuous', 'shingle', 'shoes', 'shrubs', 'six', 'size', 'soft', 'soft', 'solitary', 'sounds', 'stalks', 'steady', 'steep', 'steps', 'sudden', 'supper', 'swallow', 'swig', 'swollen', 'take', 'tall', 'tangle', 'thickened', 'though', 'thunder', 'trees', 'tropical', 'turned', 'vegetables', 'vegetation', 'view', 'waiters', 'walk', 'way', 'weeds', 'weight', 'whose', 'wine', 'wine', 'withdrawal']
mdp.39015069333014	12	['almost', 'another', 'beautiful', 'bed', 'beginning', 'career', 'certain', 'childhoods', 'clearly', 'close', 'coast', 'comical', 'condition', 'contradictory', 'cure', 'date', 'decade', 'describe', 'dinner', 'dorset', 'edward', 'edward', 'embarrassing', 'emerged', 'encumbrance', 'end', 'endless', 'era', 'errors', 'evening', 'existence', 'faintly', 'famous', 'father', 'father', 'favourite', 'feelings', 'firm', 'flora', 'florence', 'fog', 'forgive', 'fourposter', 'free', 'friends', 'fully', 'future', 'given', 'given', 'gleeful', 'heights', 'inwardly', 'irrelevance', 'job', 'july', 'last', 'later', 'least', 'lie', 'like', 'live', 'mark', 'marriage', 'maturity', 'mesmerised', 'misconceptions', 'misty', 'moment', 'money', 'much', 'musical', 'new', 'new', 'new', 'new', 'one', 'one', 'outdated', 'parental', 'people', 'pinnacle', 'pleasures', 'practices', 'promised', 'promote', 'prospect', 'reveal', 'richly', 'see', 'separately', 'social', 'soon', 'status', 'still', 'stood', 'strangely', 'strangers', 'summer', 'tangled', 'tested', 'time', 'together', 'together', 'topics', 'various', 'worried', 'year', 'young', 'youth']
