htid	page_number	page_tokens
osu.32435013698519	1	[]
osu.32435013698519	2	['libraries', 'ohio', 'state', 'university']
osu.32435013698519	3	[]
osu.32435013698519	4	[]
osu.32435013698519	5	[]
osu.32435013698519	6	['among', 'author', 'book', 'britannica', 'britannica', 'cities', 'cities', 'command', 'conundrum', 'destinations', 'ed', 'farewell', 'heaven', 'james', 'jan', 'journeys', 'matter', 'morris', 'oxford', 'oxford', 'oxford', 'pax', 'pax', 'places', 'spain', 'travels', 'trilogy', 'trumpets', 'venice', 'wales']
osu.32435013698519	7	['hav', 'jan', 'last', 'letters', 'morris', 'viking']
osu.32435013698519	8	['auckland', 'australia', 'australia', 'book', 'books', 'books', 'books', 'books', 'bound', 'bpcc', 'britain', 'british', 'canada', 'canada', 'cataloguing', 'copyright', 'copyright', 'copyright', 'data', 'electronic', 'england', 'f', 'filmset', 'first', 'form', 'great', 'group', 'harmondsworth', 'hav', 'hazell', 'introduced', 'io', 'iooio', 'isbn', 'j', 'jan', 'john', 'l', 'library', 'limited', 'limiting', 'ltd', 'ltd', 'ltd', 'ltd', 'markham', 'may', 'means', 'mechanical', 'member', 'middlesex', 'morris', 'new', 'new', 'new', 'ontario', 'otherwise', 'owner', 'p', 'part', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'permission', 'photocopying', 'plantin', 'printed', 'prior', 'publication', 'publication', 'published', 'publisher', 'q', 'recording', 'reproduced', 'reserved', 'reserved', 'retrieval', 'rights', 'rights', 'ringwood', 'road', 'rtſ', 'stored', 'street', 'street', 'system', 'title', 'transmitted', 'typeset', 'victoria', 'viking', 'viking', 'viney', 'vip', 'wairau', 'watson', 'west', 'without', 'without', 'written', 'york', 'york', 'zealand', 'º', 'º']
osu.32435013698519	9	['agency', 'another', 'apartment', 'april', 'arabesques', 'arabs', 'around', 'athenaeum', 'bit', 'breakfasts', 'bridge', 'britannica', 'bureaucrats', 'caliph', 'call', 'calls', 'cares', 'casino', 'champagne', 'characteristics', 'chimoun', 'chinese', 'city', 'colliers', 'contents', 'conveyor', 'cove', 'dawn', 'day', 'diaghilev', 'dodo', 'dog', 'dreaming', 'electric', 'fantasy', 'fauna', 'ferry', 'flora', 'fondaco', 'fresh', 'frontier', 'gentleman', 'germans', 'graffiti', 'graveyard', 'great', 'greekness', 'greeks', 'guards', 'hard', 'hat', 'haunting', 'hav', 'hav', 'hav', 'hav', 'hav', 'hav', 'house', 'ii', 'impériale', 'io', 'iron', 'june', 'katourian', 'kind', 'king', 'kretevs', 'lark', 'lawrence', 'legations', 'legend', 'little', 'luncheon', 'march', 'market', 'master', 'may', 'menu', 'missakian', 'montenegro', 'morning', 'mr', 'muslim', 'mystery', 'naratlova', 'national', 'new', 'new', 'nijinsky', 'ogre', 'old', 'olga', 'ooi', 'pale', 'party', 'peaceful', 'pilot', 'place', 'quality', 'raspberry', 'remarkable', 'routine', 'russian', 'sahib', 'salt', 'scholarly', 'seem', 'serai', 'settling', 'shopper', 'snow', 'solveig', 'something', 'spite', 'spring', 'square', 'start', 'steely', 'surprised', 'survivor', 'temptations', 'thorne', 'tramps', 'trumpet', 'tunnel', 'turkish', 'vacuum', 'venetians', 'victim', 'victor', 'visitor', 'waterfront', 'yalta', 'yellow']
osu.32435013698519	10	['ad', 'agent', 'among', 'anastasia', 'artistic', 'august', 'avzar', 'back', 'cathars', 'chinese', 'contents', 'decision', 'delights', 'disappointed', 'emblem', 'exiles', 'feng', 'freud', 'going', 'goodbye', 'hav', 'hav', 'hermits', 'honouring', 'horrible', 'infinitum', 'july', 'looking', 'mahmoud', 'maze', 'meeting', 'melchik', 'music', 'native', 'nazi', 'night', 'palace', 'pictures', 'piracy', 'poetry', 'refugees', 'religion', 'saying', 'shui', 'story', 'summer', 'symptoms', 'séance', 'terrace', 'thing', 'topolino', 'troglodytes', 'trouble', 'varied', 'visit', 'walking', 'without', 'writes', 'x']
