htid	page_number	page_tokens
pst.000048619752	1	['booker', 'cw', 'disturbing', 'hilarious', 'horrific', 'k', 'lyrical', 'nominee', 'prize', 'times', 'v', 'york']
pst.000048619752	2	[]
pst.000048619752	3	['acclaim', 'acclaimed', 'ache', 'almost', 'american', 'angeles', 'angry', 'assurance', 'attention', 'book', 'book', 'boy', 'boy', 'boy', 'brassy', 'bright', 'brilliant', 'butcher', 'butcher', 'clearly', 'close', 'common', 'compelling', 'control', 'critics', 'dangerously', 'deeply', 'deforce', 'delinquency', 'dementia', 'depressing', 'donleavy', 'endearing', 'entertainment', 'even', 'extraordinary', 'fearful', 'flavored', 'francie', 'francie', 'francie', 'francie', 'francie', 'funny', 'funny', 'gradual', 'growing', 'gruesome', 'hard', 'heartrendingly', 'hope', 'imagination', 'impossible', 'key', 'kirkus', 'lack', 'looking', 'loony', 'los', 'love', 'love', 'man', 'maximum', 'mccabe', 'mccabe', 'mccabe', 'mccabe', 'mccabe', 'mcguane', 'mind', 'minimum', 'moment', 'novel', 'ordinary', 'original', 'outstanding', 'page', 'path', 'patrick', 'patter', 'pay', 'perpetual', 'persona', 'pinpoint', 'please', 'political', 'psychopath', 'publishers', 'punctuation', 'put', 'raconteur', 'readers', 'remains', 'remarkable', 'renders', 'review', 'reviews', 'rhythms', 'rich', 'sad', 'see', 'shades', 'slangy', 'something', 'soul', 'source', 'speaks', 'spirited', 'stream', 'subtly', 'suggests', 'sympathy', 'third', 'thomas', 'times', 'tour', 'turn', 'unhinging', 'unrelenting', 'upbeat', 'vernacular', 'violence', 'voice', 'walks', 'weekly', 'weekly', 'well', 'winning', 'writer']
pst.000048619752	4	['absolutely', 'alex', 'aliens', 'amalgam', 'another', 'anthony', 'assurance', 'astonishing', 'beckett', 'best', 'bizarre', 'bolger', 'book', 'boy', 'boy', 'brady', 'brady', 'burgess', 'butcher', 'butcher', 'charlie', 'child', 'child', 'comedy', 'crossed', 'deadly', 'deeply', 'derangement', 'dermont', 'emotional', 'envy', 'even', 'filled', 'finn', 'francie', 'francie', 'good', 'gothic', 'great', 'hilarious', 'horror', 'huck', 'imagine', 'imperceptibly', 'independent', 'innocent', 'irish', 'james', 'life', 'logic', 'logic', 'london', 'loony', 'malone', 'manic', 'many', 'masterpiece', 'mccabe', 'mccabe', 'mcmanus', 'measure', 'mind', 'modern', 'molloy', 'moran', 'narrator', 'novel', 'novel', 'novel', 'one', 'outer', 'pathos', 'patrick', 'perhaps', 'perspective', 'portrays', 'post', 'potent', 'poverty', 'powerful', 'presents', 'prime', 'read', 'real', 'reminiscent', 'rivets', 'samuel', 'scary', 'seemingly', 'serious', 'shocking', 'skill', 'slice', 'space', 'spiritual', 'starkweather', 'story', 'story', 'study', 'sunday', 'sunday', 'technical', 'television', 'terrifically', 'times', 'tossed', 'turns', 'twisted', 'unconscious', 'unhinged', 'unnameable', 'unobtrusive', 'washington', 'wonderful', 'world', 'written', 'years', 'young']
pst.000048619752	5	['campus', 'cavrrre', 'commonwealth', 'delta', 'libraries', 'paperbacks', 'pennsylvania', 'state', 'trade', 'university']
pst.000048619752	6	['address', 'america', 'arrangement', 'bantam', 'book', 'book', 'books', 'broadway', 'bvg', 'copyright', 'corporation', 'corporation', 'countries', 'dell', 'dell', 'delta', 'delta', 'division', 'doubleday', 'electronic', 'except', 'first', 'form', 'fromm', 'fromm', 'group', 'including', 'information', 'information', 'international', 'international', 'isbn', 'kingdom', 'law', 'limited', 'manufactured', 'may', 'mccabe', 'means', 'mechanical', 'new', 'new', 'new', 'new', 'office', 'pan', 'part', 'patent', 'patrick', 'permission', 'permitted', 'photocopying', 'published', 'published', 'publisher', 'publishing', 'publishing', 'publishing', 'publishing', 'recording', 'registered', 'reprinted', 'reproduced', 'reserved', 'retrieval', 'rights', 'september', 'states', 'storage', 'system', 'trademark', 'trademark', 'transmitted', 'united', 'united', 'without', 'written', 'york', 'york', 'york', 'york']
pst.000048619752	7	['brian', 'dympna', 'eugene', 'mary', 'mccabes']
pst.000048619752	8	[]
pst.000048619752	9	['account', 'ago', 'archway', 'away', 'beside', 'briars', 'bridge', 'bright', 'complaining', 'course', 'dark', 'death', 'dogs', 'done', 'downstream', 'driftwood', 'earth', 'end', 'enter', 'everything', 'except', 'floating', 'forty', 'going', 'good', 'green', 'hide', 'hiding', 'hiss', 'hole', 'inside', 'joe', 'lad', 'leaf', 'life', 'liked', 'lived', 'luck', 'made', 'make', 'mind', 'mind', 'mrs', 'nearly', 'nose', 'nugent', 'one', 'plants', 'plenty', 'plink', 'rain', 'rain', 'river', 'sailing', 'sat', 'see', 'see', 'see', 'small', 'soft', 'sprout', 'staring', 'stuck', 'tangle', 'thirty', 'timbuctoo', 'town', 'twenty', 'us', 'water', 'waterdrop', 'weeds', 'weeds', 'whether', 'years', 'young']
pst.000048619752	10	['always', 'ask', 'away', 'back', 'badge', 'behind', 'bird', 'blazer', 'blue', 'boiling', 'boy', 'braid', 'breast', 'came', 'cap', 'caused', 'come', 'come', 'crest', 'crying', 'crying', 'dandy', 'day', 'days', 'devilment', 'distance', 'droning', 'drop', 'enough', 'every', 'everything', 'explaining', 'eyes', 'eyes', 'fall', 'far', 'feel', 'fellow', 'first', 'fit', 'francie', 'gawk', 'get', 'gold', 'got', 'got', 'grey', 'harm', 'hear', 'home', 'houses', 'hurry', 'insects', 'investigating', 'joe', 'joe', 'joe', 'joe', 'join', 'know', 'know', 'know', 'lane', 'like', 'liked', 'live', 'live', 'london', 'make', 'make', 'man', 'manage', 'master', 'matter', 'meetings', 'mrs', 'much', 'name', 'navy', 'new', 'nose', 'nugent', 'nugent', 'nugent', 'nugent', 'nugent', 'one', 'opposite', 'parents', 'pass', 'philip', 'philip', 'philip', 'philip', 'philip', 'philip', 'plane', 'plane', 'planes', 'pocket', 'point', 'poked', 'private', 'right', 'rocks', 'saw', 'says', 'says', 'says', 'says', 'school', 'school', 'school', 'secret', 'see', 'see', 'see', 'shading', 'silver', 'small', 'socks', 'son', 'standing', 'standing', 'sun', 'sure', 'take', 'thinking', 'time', 'time', 'time', 'time', 'time', 'tiny', 'town', 'trouble', 'true', 'us', 'use', 'used', 'used', 'want', 'want', 'want', 'want', 'wanted', 'water', 'watson', 'winker', 'winker', 'wo', 'woh', 'wore', 'world', 'young']
