htid	page_number	page_tokens
txu.059173008794478	1	[]
txu.059173008794478	2	['braries', 'collection', 'cop', 'f', 'genial', 'ij', 'l', 'lac', 'latin', 'n', 'nettt', 'pr', 'r', 'texas', 'university']
txu.059173008794478	3	['austin', 'due', 'jul', 'jul', 'libraries', 'returned', 'texas', 'texas', 'university', 'university']
txu.059173008794478	4	[]
txu.059173008794478	5	[]
txu.059173008794478	6	['area', 'barracoon', 'biswas', 'civilization', 'companion', 'darkness', 'dorado', 'el', 'elvira', 'fiction', 'flag', 'free', 'guerrillas', 'house', 'india', 'island', 'knights', 'loss', 'masseur', 'men', 'middle', 'miguel', 'mimic', 'mystic', 'nonfiction', 'overcrowded', 'passage', 'state', 'stone', 'street', 'suffrage', 'wounded']
txu.059173008794478	7	['bend', 'river']
txu.059173008794478	8	[]
txu.059173008794478	9	['alfred', 'bend', 'naipaul', 'new', 'river', 'york']
txu.059173008794478	10	['alfred', 'alfred', 'america', 'bend', 'book', 'borzoi', 'cataloging', 'congress', 'conventions', 'copyright', 'copyright', 'data', 'distributed', 'edition', 'first', 'house', 'international', 'isbn', 'knopf', 'knopf', 'library', 'manufactured', 'naipaul', 'naipaul', 'new', 'new', 'publication', 'published', 'published', 'random', 'reserved', 'rights', 'river', 'states', 'states', 'surajprasad', 'title', 'united', 'united', 'vidiadhar', 'york', 'york']
txu.059173008794478	11	['battle', 'big', 'domain', 'four', 'man', 'new', 'three', 'two']
txu.059173008794478	12	[]
txu.059173008794478	13	[]
txu.059173008794478	14	[]
txu.059173008794478	15	['africa', 'africa', 'allow', 'almost', 'around', 'ask', 'away', 'bank', 'become', 'beginning', 'bend', 'blood', 'broken', 'bush', 'bush', 'business', 'ceased', 'centre', 'cheap', 'closed', 'coast', 'coast', 'come', 'country', 'day', 'dollars', 'dollars', 'drifts', 'drive', 'drive', 'drive', 'drove', 'east', 'easy', 'else', 'even', 'even', 'exist', 'flags', 'flew', 'food', 'forest', 'frontier', 'full', 'get', 'give', 'go', 'go', 'great', 'guns', 'haggling', 'half', 'hang', 'harder', 'hour', 'hut', 'hut', 'huts', 'independence', 'inside', 'interior', 'ithe', 'kind', 'less', 'like', 'man', 'many', 'men', 'men', 'mountains', 'mud', 'narrow', 'nazruddin', 'nazruddin', 'nazruddin', 'notes', 'nothing', 'nothing', 'nothing', 'nothing', 'nowadays', 'open', 'others', 'outside', 'outside', 'outside', 'palavers', 'past', 'peugeot', 'peugeot', 'peugeot', 'place', 'places', 'places', 'posts', 'quite', 'ridiculous', 'right', 'river', 'roads', 'roads', 'sand', 'say', 'say', 'settle', 'shed', 'shop', 'sold', 'something', 'start', 'strange', 'take', 'talk', 'talk', 'talked', 'think', 'though', 'thousand', 'three', 'three', 'time', 'tinned', 'took', 'took', 'top', 'town', 'troubles', 'two', 'two', 'two', 'us', 'way', 'week', 'winding', 'wooden', 'world']
txu.059173008794478	16	['abandoned', 'achievement', 'achievement', 'across', 'africa', 'african', 'africans', 'afternoons', 'always', 'anxious', 'anxious', 'area', 'area', 'arrive', 'arrived', 'asked', 'away', 'back', 'back', 'bank', 'became', 'became', 'bend', 'better', 'blue', 'boats', 'brown', 'burnt', 'bush', 'ca', 'caravans', 'centre', 'centre', 'centre', 'cites', 'climb', 'coast', 'coast', 'commercial', 'commercial', 'concrete', 'continent', 'corners', 'course', 'customs', 'cut', 'day', 'day', 'days', 'decay', 'deeper', 'deeper', 'desert', 'destroyed', 'direction', 'direction', 'discouragements', 'distinguish', 'dock', 'drive', 'drove', 'east', 'else', 'elsewhere', 'embrace', 'end', 'end', 'european', 'even', 'everybody', 'far', 'fern', 'fight', 'find', 'foot', 'forests', 'forests', 'found', 'gardens', 'get', 'get', 'going', 'gorilla', 'got', 'got', 'got', 'greater', 'green', 'green', 'grown', 'half', 'hard', 'hard', 'harder', 'help', 'home', 'home', 'homes', 'house', 'houses', 'hung', 'inhabited', 'journey', 'journey', 'keener', 'lakes', 'less', 'lied', 'life', 'life', 'like', 'like', 'likely', 'loose', 'low', 'made', 'made', 'madness', 'many', 'market', 'mattings', 'mountains', 'mountains', 'much', 'mud', 'nazruddin', 'nazruddin', 'near', 'near', 'nervous', 'new', 'new', 'notes', 'official', 'old', 'opposite', 'pale', 'pale', 'place', 'places', 'positively', 'press', 'private', 'rain', 'rapids', 'residential', 'river', 'rocky', 'ruins', 'run', 'safe', 'saw', 'scrub', 'sea', 'shop', 'side', 'slave', 'slaves', 'square', 'step', 'strange', 'streets', 'streets', 'suburb', 'survived', 'taken', 'thinking', 'thought', 'town', 'tribal', 'tropical', 'trouble', 'troubles', 'turn', 'vines', 'visas', 'way', 'wetter', 'wrong']
txu.059173008794478	17	['able', 'africans', 'almost', 'alone', 'aluminum', 'among', 'anxiety', 'area', 'around', 'arrive', 'back', 'back', 'bad', 'basin', 'basins', 'began', 'began', 'belonged', 'blades', 'blessing', 'boats', 'bought', 'bought', 'bought', 'bush', 'business', 'buy', 'buyer', 'came', 'cite', 'cloth', 'cloth', 'coast', 'coming', 'community', 'consoling', 'copybooks', 'creeks', 'customers', 'difficult', 'dung', 'earliest', 'easier', 'enamel', 'enamel', 'especially', 'essentials', 'even', 'eventually', 'every', 'everything', 'exactly', 'examples', 'father', 'filled', 'first', 'fisherfolk', 'fishing', 'food', 'foreigners', 'full', 'get', 'gone', 'goods', 'goods', 'goodwill', 'held', 'hidden', 'hollowed', 'imagine', 'including', 'intact', 'interested', 'iron', 'iron', 'kitchen', 'knew', 'large', 'large', 'lay', 'leak', 'leather', 'life', 'like', 'little', 'little', 'looking', 'luxuries', 'made', 'many', 'many', 'marchande', 'market', 'meaningless', 'modern', 'month', 'mortars', 'much', 'nazruddin', 'needed', 'needed', 'needing', 'new', 'none', 'ones', 'ordinary', 'outside', 'pans', 'pay', 'peace', 'pencils', 'people', 'people', 'people', 'people', 'people', 'people', 'plastic', 'plates', 'pots', 'purchase', 'rats', 'razor', 'regular', 'retailer', 'right', 'safety', 'say', 'set', 'simple', 'skills', 'slowly', 'small', 'smaller', 'smelt', 'soap', 'started', 'stock', 'supply', 'surprise', 'syringes', 'syringes', 'taint', 'tanned', 'tastes', 'things', 'things', 'things', 'things', 'things', 'toothbrushes', 'toothpaste', 'town', 'town', 'toys', 'traders', 'traders', 'tree', 'tribe', 'troubles', 'troubles', 'trunks', 'used', 'vessel', 'village', 'village', 'villages', 'waited', 'water', 'way', 'wholesale', 'willing', 'without', 'woman', 'worked', 'world', 'wove', 'yards', 'zabeth', 'zabeth', 'zabeth']
txu.059173008794478	18	['accepted', 'african', 'along', 'anything', 'asked', 'assistants', 'avoided', 'away', 'back', 'banks', 'beginning', 'beginning', 'beth', 'big', 'brought', 'bus', 'business', 'businesswoman', 'came', 'came', 'carried', 'case', 'case', 'case', 'cash', 'citoyennes', 'citoyens', 'coast', 'come', 'complicated', 'complications', 'confused', 'course', 'credit', 'day', 'day', 'days', 'decide', 'design', 'difficult', 'direct', 'distance', 'distinguished', 'distrusted', 'dull', 'end', 'every', 'familiar', 'far', 'fetish', 'foreigner', 'foreigners', 'found', 'frightened', 'go', 'good', 'happens', 'hated', 'head', 'helped', 'home', 'idea', 'journey', 'knew', 'know', 'know', 'land', 'land', 'land', 'language', 'lies', 'like', 'list', 'little', 'live', 'made', 'made', 'made', 'made', 'main', 'make', 'making', 'man', 'miles', 'miles', 'mis', 'mis', 'mister', 'mister', 'mister', 'mixed', 'money', 'money', 'monsieur', 'never', 'occasions', 'one', 'order', 'others', 'paid', 'paid', 'particular', 'particular', 'people', 'possible', 'previous', 'put', 'rainy', 'read', 'remembered', 'resident', 'right', 'river', 'river', 'road', 'road', 'safe', 'salim', 'say', 'season', 'sell', 'shopping', 'short', 'sixty', 'snatch', 'somebody', 'someone', 'started', 'stay', 'stick', 'stock', 'strange', 'strange', 'stronger', 'take', 'taking', 'things', 'thinking', 'three', 'time', 'took', 'town', 'track', 'trademark', 'trader', 'travel', 'trekking', 'truck', 'trusted', 'try', 'two', 'understand', 'unusually', 'us', 'us', 'used', 'used', 'useless', 'van', 'vanity', 'vanity', 'village', 'waiting', 'water', 'way', 'way', 'woman', 'women', 'write', 'zabeth', 'zabeth', 'zabeth', 'zabeth', 'zabeth', 'zabeth']
txu.059173008794478	19	['afterwards', 'almost', 'along', 'always', 'always', 'always', 'anxious', 'appeared', 'attaching', 'avoid', 'back', 'bank', 'barely', 'barge', 'barge', 'barge', 'barge', 'barge', 'barge', 'barge', 'began', 'black', 'black', 'boucane', 'bulkhead', 'buy', 'came', 'came', 'came', 'cathedral', 'channel', 'channels', 'channels', 'charred', 'claim', 'close', 'close', 'cloth', 'country', 'critical', 'crocodile', 'crust', 'crust', 'current', 'danger', 'dangerous', 'day', 'deck', 'direction', 'docks', 'downstream', 'drifting', 'drifting', 'drowned', 'dugout', 'dugouts', 'dugouts', 'dugouts', 'dugouts', 'dugouts', 'dugouts', 'dugouts', 'easier', 'edge', 'edge', 'every', 'fish', 'fish', 'flesh', 'food', 'food', 'fresh', 'full', 'full', 'goods', 'goods', 'goods', 'grab', 'hands', 'humming', 'hunk', 'journey', 'labour', 'little', 'lower', 'made', 'main', 'mainly', 'marchande', 'market', 'middle', 'moment', 'monkey', 'monkey', 'mosquitoes', 'moving', 'moving', 'much', 'officials', 'often', 'onto', 'overturned', 'paddled', 'pale', 'paper', 'passed', 'passenger', 'people', 'people', 'people', 'people', 'pieces', 'pink', 'poled', 'poled', 'practice', 'pushed', 'recognizable', 'recognized', 'report', 'risk', 'river', 'river', 'river', 'river', 'river', 'rocked', 'ropes', 'ropes', 'route', 'ruins', 'secret', 'sell', 'selling', 'shallow', 'side', 'simple', 'small', 'smoked', 'smoked', 'smoked', 'snags', 'snake', 'sold', 'sometimes', 'somewhere', 'started', 'steamer', 'steamer', 'steamer', 'steamer', 'steamer', 'steamer', 'steamer', 'steamer', 'steamer', 'steamers', 'steel', 'stood', 'swell', 'take', 'taking', 'tax', 'thick', 'things', 'threw', 'threw', 'tie', 'together', 'tow', 'towed', 'towed', 'town', 'trip', 'trouble', 'two', 'uncoupling', 'used', 'usually', 'village', 'village', 'villages', 'waited', 'wanted', 'way', 'white', 'without', 'women', 'women', 'women', 'worth', 'zabeth', 'zabeth', 'zabeth', 'zabeth', 'zabeth']
txu.059173008794478	20	['across', 'african', 'african', 'afternoon', 'another', 'appearance', 'away', 'away', 'back', 'bar', 'barge', 'barge', 'barge', 'became', 'beginning', 'bigness', 'bottom', 'came', 'came', 'came', 'camp', 'camp', 'care', 'case', 'cast', 'cast', 'channel', 'climate', 'clothes', 'colder', 'colours', 'control', 'cotton', 'coupling', 'creased', 'creeks', 'dangerous', 'darkness', 'date', 'daylight', 'days', 'deep', 'difficult', 'dipped', 'disappear', 'dock', 'downriver', 'downriver', 'drapes', 'dressed', 'drifted', 'dugouts', 'emphasized', 'entrance', 'even', 'exist', 'felt', 'felt', 'folds', 'forest', 'forest', 'forests', 'formally', 'four', 'gate', 'ghostly', 'give', 'going', 'goods', 'got', 'grocery', 'heard', 'heat', 'home', 'hours', 'house', 'imagine', 'imagine', 'imagine', 'intruder', 'journey', 'journey', 'labour', 'laid', 'land', 'later', 'left', 'lights', 'like', 'liked', 'lodging', 'made', 'mist', 'moonlight', 'much', 'much', 'never', 'never', 'night', 'night', 'night', 'night', 'nights', 'nighttime', 'noise', 'notes', 'nothing', 'often', 'open', 'open', 'outside', 'overhanging', 'paddle', 'paid', 'pale', 'part', 'people', 'people', 'person', 'piece', 'places', 'poled', 'poling', 'powerful', 'presences', 'pushing', 'put', 'quicker', 'ragged', 'rained', 'rebuilt', 'river', 'river', 'river', 'roads', 'sailed', 'secret', 'see', 'see', 'shop', 'shopped', 'short', 'slept', 'space', 'spoke', 'spreading', 'steamer', 'steamer', 'steamer', 'steamer', 'steamer', 'style', 'style', 'suggesting', 'sure', 'swamps', 'take', 'thin', 'though', 'though', 'times', 'took', 'town', 'town', 'town', 'trees', 'turban', 'uncoupling', 'unprotected', 'uprooted', 'vanity', 'verandah', 'village', 'village', 'waited', 'water', 'women', 'women', 'women', 'wore', 'working', 'wrapped', 'zabeth', 'zabeth', 'zabeth']
