htid	page_number	page_tokens
uc1.$b396601	1	[]
uc1.$b396601	2	['berkeley', 'california', 'library', 'university']
uc1.$b396601	3	['equinox', 'green']
uc1.$b396601	4	['biography', 'elizabeth', 'flora', 'greenhouse', 'ladies', 'llangollen', 'mavor', 'mistress', 'novels', 'redoubt', 'summer', 'temple', 'virgin']
uc1.$b396601	5	['elizabeth', 'equinox', 'green', 'house', 'joseph', 'mavor', 'michael', 'wildwood']
uc1.$b396601	6	['baskerville', 'bedford', 'binding', 'bingham', 'book', 'bound', 'britain', 'britain', 'burn', 'circulated', 'condition', 'condition', 'condition', 'condition', 'consent', 'copyright', 'cover', 'edition', 'edition', 'edition', 'electronic', 'eleven', 'elizabeth', 'esher', 'first', 'form', 'form', 'gateshead', 'great', 'great', 'hardback', 'hired', 'house', 'house', 'house', 'imposed', 'including', 'isbn', 'isbn', 'james', 'joseph', 'joseph', 'lent', 'london', 'london', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'mavor', 'may', 'means', 'mechanical', 'michael', 'michael', 'northumberland', 'otherwise', 'otherwise', 'otherwise', 'owner', 'paper', 'paperback', 'part', 'permission', 'photocopying', 'point', 'press', 'printed', 'prior', 'prior', 'publication', 'published', 'published', 'publisher', 'purchaser', 'recording', 'reproduced', 'reserved', 'retrieval', 'rights', 'set', 'shall', 'similar', 'simultaneously', 'sold', 'sold', 'square', 'stored', 'street', 'subject', 'subject', 'subsequent', 'supplied', 'surrey', 'system', 'thirteen', 'trade', 'transmitted', 'wardour', 'way', 'wcib', 'wildwood', 'wildwood', 'wildwood', 'without', 'without', 'without', 'wiv']
uc1.$b396601	7	['betters', 'dance', 'done', 'ever', 'function', 'might', 'move', 'nothing', 'sea', 'still', 'still', 'still', 'tale', 'wave', 'winter', 'wish']
uc1.$b396601	8	[]
uc1.$b396601	9	['abbey', 'ancient', 'andrew', 'art', 'brought', 'days', 'endurance', 'ever', 'evils', 'example', 'flosky', 'forth', 'garden', 'give', 'great', 'green', 'held', 'imaginary', 'impatience', 'instructive', 'love', 'lovely', 'marvell', 'miserable', 'misery', 'misfortune', 'modern', 'mr', 'nightmare', 'odyssey', 'one', 'peacock', 'perfection', 'picture', 'place', 'querulous', 'real', 'red', 'rous', 'sake', 'seen', 'setting', 'shining', 'thomas', 'white']
uc1.$b396601	10	['author', 'collected', 'edited', 'elizabeth', 'four', 'grateful', 'hastings', 'hudson', 'kegan', 'keyes', 'lady', 'levey', 'lines', 'ltd', 'ltd', 'memory', 'meyer', 'michael', 'page', 'page', 'paul', 'permission', 'permission', 'poems', 'quote', 'quote', 'revolution', 'rococo', 'routledge', 'sidney', 'sonnet', 'thames']
uc1.$b396601	11	['another', 'ashes', 'asleep', 'awake', 'beside', 'beside', 'bloodless', 'breasty', 'broccoli', 'browne', 'buttocky', 'care', 'chiselled', 'compose', 'containing', 'contemporary', 'convoluted', 'dead', 'despised', 'enjoyed', 'epitaph', 'euro', 'experimented', 'finally', 'first', 'french', 'fui', 'gill', 'graveyard', 'greek', 'grief', 'halted', 'high', 'however', 'indulgence', 'italian', 'jargon', 'know', 'know', 'last', 'latin', 'laugh', 'lay', 'leaves', 'like', 'little', 'love', 'love', 'make', 'mocked', 'moment', 'moved', 'much', 'neat', 'night', 'non', 'non', 'non', 'nowadays', 'object', 'one', 'one', 'one', 'periods', 'phrases', 'planning', 'pleasurable', 'pope', 'possibilities', 'pot', 'pouring', 'quite', 'rejected', 'remember', 'saw', 'sentiments', 'sir', 'sort', 'speak', 'stone', 'sum', 'teetering', 'thomas', 'trees', 'tried', 'tried', 'understand', 'unexcitable', 'urn', 'urn', 'urn', 'urn', 'various', 'vast', 'want', 'well', 'welsh', 'willow', 'willow', 'words', 'yet']
uc1.$b396601	12	['accidie', 'adequate', 'advised', 'affair', 'afflicted', 'afternoon', 'allude', 'almost', 'along', 'amorous', 'attitude', 'away', 'back', 'beside', 'bones', 'book', 'books', 'break', 'bringing', 'brought', 'cadwallader', 'carefully', 'child', 'course', 'course', 'cropping', 'day', 'death', 'death', 'descent', 'deserved', 'destroy', 'devilish', 'differently', 'direct', 'discipline', 'early', 'else', 'end', 'epitaphs', 'equinox', 'equinox', 'even', 'explain', 'far', 'fatuous', 'flower', 'four', 'freud', 'friends', 'gave', 'georgian', 'gorge', 'granite', 'great', 'however', 'hubris', 'idiocy', 'imbalance', 'insisted', 'instead', 'intelligence', 'know', 'late', 'lay', 'life', 'like', 'like', 'lost', 'love', 'love', 'make', 'march', 'mind', 'mizzling', 'moments', 'months', 'nearly', 'old', 'pages', 'parson', 'particular', 'passion', 'passion', 'past', 'people', 'people', 'perhaps', 'persuade', 'pink', 'point', 'portraits', 'prints', 'probably', 'read', 'rebacking', 'resembles', 'restless', 'retraced', 'road', 'romantic', 'sadness', 'served', 'sexual', 'shelves', 'shop', 'show', 'sickness', 'sickness', 'sickness', 'sickness', 'sickness', 'sin', 'sin', 'six', 'sleep', 'social', 'something', 'squandering', 'stalk', 'still', 'stone', 'stop', 'straight', 'suffer', 'swollen', 'symptoms', 'take', 'think', 'though', 'time', 'took', 'torpor', 'towards', 'tried', 'tristitia', 'trouble', 'turning', 'unable', 'unbelievably', 'vivacity', 'waited', 'whether', 'wife', 'womb', 'work', 'worse', 'worst', 'writing', 'wrong']
uc1.$b396601	13	['abundant', 'accustomed', 'ago', 'alarm', 'almost', 'always', 'anglia', 'anguish', 'appalled', 'appalled', 'apple', 'aroused', 'aside', 'basket', 'beaudesert', 'beaujolais', 'become', 'behind', 'behind', 'blue', 'book', 'book', 'bottle', 'bread', 'buy', 'came', 'carefully', 'castle', 'chicken', 'children', 'closing', 'confrontation', 'crew', 'cross', 'cups', 'debate', 'deep', 'destroy', 'diminished', 'direct', 'doomed', 'door', 'east', 'eight', 'enemy', 'even', 'eventually', 'express', 'eyes', 'eyes', 'feared', 'fearing', 'feeling', 'flora', 'floras', 'flourishing', 'found', 'frequently', 'get', 'glasses', 'grand', 'guide', 'guineas', 'hampstead', 'head', 'heath', 'held', 'hendon', 'hire', 'history', 'hot', 'inhabit', 'instantly', 'jack', 'keenness', 'king', 'knives', 'laid', 'long', 'long', 'look', 'luncheon', 'margin', 'meadow', 'meadow', 'middlesex', 'moment', 'moment', 'moral', 'motoring', 'mustard', 'near', 'never', 'never', 'note', 'nowadays', 'old', 'one', 'open', 'orchis', 'palustris', 'particularly', 'pencil', 'perhaps', 'piano', 'pie', 'pinner', 'plentiful', 'point', 'prints', 'raised', 'rare', 'read', 'reckitt', 'remember', 'rolls', 'round', 'says', 'seeing', 'seeking', 'shamefully', 'shop', 'shopping', 'sleep', 'someone', 'soon', 'spoons', 'station', 'still', 'still', 'still', 'still', 'straw', 'sweet', 'swung', 'tells', 'think', 'though', 'three', 'time', 'topography', 'trapped', 'travel', 'trimmer', 'two', 'two', 'viola', 'week', 'went', 'wherry', 'whether', 'words', 'world', 'years', 'yet']
uc1.$b396601	14	['abatement', 'absorbed', 'achieve', 'affection', 'already', 'always', 'amusement', 'appeal', 'appeared', 'arcane', 'asking', 'attended', 'bad', 'began', 'belle', 'belle', 'belling', 'bishops', 'bored', 'catholic', 'catholics', 'concern', 'concerned', 'convert', 'country', 'course', 'deliberately', 'destroy', 'dreadfully', 'end', 'enemy', 'enjoyed', 'establishment', 'even', 'ever', 'everything', 'expected', 'external', 'face', 'face', 'fair', 'first', 'gatherings', 'genuinely', 'give', 'give', 'good', 'happened', 'hardly', 'houses', 'however', 'hugh', 'hugh', 'hughie', 'interested', 'interested', 'interested', 'jealous', 'kind', 'kiss', 'knew', 'know', 'know', 'like', 'like', 'looking', 'looking', 'loved', 'luck', 'marriage', 'meeting', 'merely', 'moments', 'monseigneurs', 'much', 'noise', 'oh', 'oh', 'old', 'old', 'one', 'one', 'one', 'partly', 'partly', 'peace', 'people', 'perhaps', 'pollution', 'ponder', 'practically', 'prepared', 'quite', 'race', 'rather', 'reactionary', 'really', 'reasons', 'regularly', 'relations', 'rings', 'ritualistic', 'say', 'secularisation', 'secularised', 'seemed', 'seemed', 'short', 'something', 'sort', 'speak', 'spoke', 'talking', 'thing', 'think', 'think', 'though', 'though', 'though', 'thought', 'thought', 'time', 'unfortunately', 'upperclass', 'useful', 'usual', 'voice', 'voice', 'way', 'way', 'way', 'woman', 'wonderful', 'yes', 'yes']
uc1.$b396601	15	['adventuress', 'ago', 'almost', 'always', 'aristotle', 'aureoles', 'bearing', 'beaudesert', 'befitted', 'believed', 'bet', 'binoculars', 'breasts', 'britomart', 'bronze', 'brown', 'brown', 'called', 'chemical', 'chemists', 'children', 'children', 'class', 'class', 'clearly', 'community', 'composed', 'cooling', 'cultivated', 'degree', 'desirable', 'dignity', 'discontinued', 'dispiriting', 'due', 'eaten', 'eccentricity', 'entirely', 'establishment', 'expensive', 'extremely', 'fair', 'feeding', 'fireflies', 'fistulas', 'flawless', 'future', 'get', 'gig', 'globular', 'gnomes', 'gone', 'gonged', 'gravel', 'grots', 'heart', 'holy', 'important', 'intelligent', 'keen', 'keen', 'keen', 'knew', 'knew', 'leaving', 'life', 'like', 'little', 'livelihood', 'look', 'love', 'mainly', 'making', 'man', 'manual', 'meadows', 'middle', 'mine', 'nearby', 'neat', 'nordic', 'nourishment', 'obligingly', 'occasionally', 'occupation', 'one', 'ooze', 'parterres', 'people', 'pink', 'pits', 'planning', 'politics', 'preponderance', 'pretty', 'produce', 'proportions', 'provided', 'publicity', 'question', 'rakish', 'ravaged', 'right', 'ross', 'sail', 'sameness', 'saying', 'scrubbed', 'see', 'seem', 'seem', 'seems', 'softly', 'somebody', 'sorry', 'sort', 'specific', 'spiced', 'spoke', 'still', 'succeeded', 'sucked', 'summer', 'thing', 'thought', 'time', 'town', 'trim', 'turkey', 'uncomplicated', 'upon', 'used', 'virginity', 'virtuous', 'voice', 'watch', 'weapons', 'whole', 'widgeon', 'winter', 'within', 'workers', 'workings']
uc1.$b396601	16	['actually', 'added', 'adore', 'almost', 'although', 'although', 'ancient', 'appointed', 'arose', 'aspirations', 'assiduously', 'authority', 'away', 'beaudesert', 'beaudesert', 'beaudesert', 'beautiful', 'beautiful', 'believe', 'beneath', 'benefit', 'bookshop', 'buildings', 'burnt', 'careful', 'centuries', 'century', 'charmed', 'chateau', 'consciously', 'constantly', 'country', 'cultural', 'culture', 'decay', 'destructiveness', 'disappointment', 'discriminating', 'disgusting', 'dispirited', 'dolled', 'enemy', 'enervating', 'exterior', 'fall', 'far', 'fastness', 'finally', 'fitfully', 'flame', 'flickers', 'fruit', 'georgian', 'given', 'goes', 'ground', 'guardian', 'guess', 'hideous', 'hughie', 'hurt', 'inhabitants', 'inheritance', 'inside', 'labour', 'last', 'late', 'leaving', 'left', 'left', 'like', 'live', 'local', 'lowering', 'many', 'modernised', 'monster', 'much', 'nevertheless', 'older', 'one', 'one', 'one', 'one', 'original', 'park', 'park', 'part', 'partially', 'past', 'penal', 'perfect', 'permits', 'petrifaction', 'picturesque', 'pleasant', 'preceding', 'precinct', 'prefer', 'producing', 'protected', 'pulled', 'pyromaniac', 'rather', 'really', 'really', 'rebuilt', 'renovated', 'rescue', 'right', 'rubbing', 'ruins', 'sacred', 'sense', 'shamelessly', 'shopping', 'shut', 'sixties', 'something', 'streets', 'style', 'talk', 'teasing', 'thinking', 'times', 'trust', 'trusts', 'upon', 'want', 'way', 'wealthy', 'wheels', 'wolfish', 'worse']
uc1.$b396601	17	['activities', 'advance', 'agreeing', 'alsatians', 'anxiety', 'away', 'barricade', 'beautiful', 'belle', 'bells', 'belly', 'books', 'books', 'books', 'bound', 'caressing', 'cat', 'chaos', 'child', 'children', 'clothing', 'collection', 'comfortable', 'concealed', 'copies', 'cream', 'crying', 'dangerous', 'deadly', 'despoiling', 'dimension', 'else', 'engaged', 'entrance', 'escutcheoned', 'ever', 'exceedingly', 'expressing', 'extremely', 'eyes', 'eyes', 'feel', 'first', 'fruitless', 'furniture', 'future', 'gates', 'gentle', 'glimpsed', 'gold', 'golden', 'gratitude', 'gravel', 'great', 'grounds', 'hahas', 'house', 'however', 'hugh', 'hughie', 'illustrated', 'kent', 'kind', 'knew', 'london', 'looked', 'louis', 'love', 'loving', 'made', 'manner', 'meeting', 'met', 'mistress', 'moment', 'mutual', 'name', 'news', 'notice', 'oddly', 'old', 'older', 'one', 'one', 'ones', 'operations', 'owing', 'paintings', 'park', 'passionate', 'past', 'pervades', 'pleasure', 'present', 'private', 'progressive', 'protected', 'protected', 'protest', 'put', 'quiet', 'quinze', 'rather', 'rather', 'rather', 'realised', 'really', 'remains', 'room', 'room', 'rooms', 'savage', 'saw', 'saying', 'schools', 'secrecy', 'secret', 'selfpossessed', 'sergeants', 'sex', 'sex', 'shafto', 'shop', 'shop', 'shut', 'singing', 'small', 'small', 'something', 'splendid', 'suddenly', 'tender', 'timed', 'tiredness', 'tolerance', 'tripwires', 'two', 'uncertain', 'unfamiliar', 'view', 'wanted', 'warm', 'wetness', 'window', 'windows', 'yielding']
