htid	page_number	page_tokens
uc1.32106018265881	1	['achingly', 'auahters', 'brilliance', 'c', 'california', 'cruz', 'depth', 'e', 'eph', 'f', 'h', 'h', 'h', 'jk', 'l', 'mysterious', 'r', 'r', 'santa', 'versity']
uc1.32106018265881	2	['x']
uc1.32106018265881	3	[]
uc1.32106018265881	4	[]
uc1.32106018265881	5	[]
uc1.32106018265881	6	[]
uc1.32106018265881	7	['aughters', 'h', 'ouse']
uc1.32106018265881	8	['americas', 'available', 'avenue', 'avon', 'avon', 'book', 'books', 'books', 'books', 'bulk', 'created', 'details', 'director', 'discounts', 'educational', 'excerpts', 'fit', 'fp', 'fund', 'markets', 'needs', 'new', 'new', 'office', 'premiums', 'promotions', 'purchases', 'quantity', 'raising', 'sales', 'special', 'special', 'special', 'specific', 'telephone', 'use', 'write', 'york', 'york']
uc1.32106018265881	9	['aughters', 'avomiooks', 'h', 'newydrk', 'ouse', 'roberts', 'tichele']
uc1.32106018265881	10	['aaraa', 'address', 'americas', 'americas', 'arrangement', 'art', 'author', 'author', 'avenue', 'avenue', 'avon', 'avon', 'avon', 'aware', 'book', 'book', 'book', 'book', 'books', 'books', 'card', 'catalog', 'company', 'company', 'congress', 'copyright', 'copyright', 'corporation', 'countries', 'cover', 'cover', 'department', 'destroyed', 'division', 'en', 'enric', 'except', 'first', 'form', 'hardcover', 'hearst', 'hecho', 'includes', 'information', 'isbn', 'law', 'library', 'marca', 'michele', 'morrow', 'morrow', 'neither', 'new', 'new', 'new', 'new', 'number', 'october', 'opm', 'pat', 'payment', 'permissions', 'portions', 'printed', 'printing', 'property', 'provided', 'published', 'published', 'publisher', 'publisher', 'purchased', 'received', 'reg', 'registrada', 'reported', 'reproduce', 'reserved', 'right', 'rights', 'roberts', 'stolen', 'stripped', 'thereof', 'trade', 'trademark', 'uinv', 'unsold', 'uo', 'uorary', 'w', 'whatsoever', 'william', 'william', 'without', 'york', 'york', 'york', 'york']
uc1.32106018265881	11	['beewee', 'pr']
uc1.32106018265881	12	[]
uc1.32106018265881	13	['author', 'caroline', 'character', 'child', 'criticizing', 'dawnay', 'dme', 'drafts', 'earlier', 'elsbeth', 'existing', 'fictional', 'flower', 'goodings', 'imaginary', 'inhabitants', 'inspiration', 'jesus', 'jim', 'known', 'latter', 'lennie', 'lindner', 'little', 'major', 'martin', 'note', 'novel', 'novel', 'often', 'one', 'paper', 'reading', 'saint', 'source', 'thanks', 'therese', 'therese', 'therese', 'village']
uc1.32106018265881	14	[]
uc1.32106018265881	15	[]
uc1.32106018265881	16	[]
