htid	page_number	page_tokens
uc1.b000552199	1	[]
uc1.b000552199	2	['b', 'california', 'e', 'e', 'e', 'k', 'l', 'library', 'r', 'university']
uc1.b000552199	3	[]
uc1.b000552199	4	[]
uc1.b000552199	5	['forest', 'gossip']
uc1.b000552199	6	['author', 'blacksmith', 'blood', 'bring', 'chant', 'cheers', 'daughter', 'dutiful', 'fear', 'heroes', 'jimmy', 'ks', 'la', 'paraclete', 'place', 'r', 'red', 'rose', 'sister', 'survivor', 'three', 'whitton']
uc1.b000552199	7	['collins', 'forest', 'gossip', 'keneally', 'london', 'sydney', 'thomas']
uc1.b000552199	8	['auckland', 'book', 'britain', 'children', 'co', 'co', 'collins', 'collins', 'cº', 'devices', 'exploding', 'father', 'first', 'french', 'garamond', 'glasgow', 'glasgow', 'government', 'great', 'h', 'isbn', 'johannesburg', 'keneally', 'london', 'ltd', 'ltd', 'made', 'monotype', 'nuclear', 'ocean', 'oo', 'persisted', 'printed', 'published', 'season', 'set', 'sons', 'sons', 'swim', 'sydney', 'thomas', 'toronto', 'william', 'william', 'written', 'xb']
uc1.b000552199	9	['c', 'cº', 'sº', 'ºf', 'ºf']
uc1.b000552199	10	[]
uc1.b000552199	11	['abandon', 'accustomed', 'afternoon', 'afternoon', 'agenda', 'although', 'appeal', 'armies', 'artistic', 'autumns', 'bad', 'birch', 'business', 'calling', 'cannon', 'careful', 'careful', 'chasseurs', 'chat', 'cleans', 'clemenceau', 'clemenceau', 'clemenceau', 'clemenceau', 'cluttered', 'convalescent', 'corpses', 'country', 'dead', 'deer', 'dim', 'disorder', 'drizzling', 'endlessly', 'enough', 'enough', 'every', 'example', 'fallen', 'far', 'fear', 'finished', 'fire', 'fire', 'floor', 'floors', 'forest', 'forest', 'forest', 'forest', 'forests', 'forests', 'forests', 'forward', 'france', 'front', 'full', 'generals', 'gravel', 'ground', 'headquarters', 'home', 'infested', 'ivy', 'kaiser', 'keeps', 'keeps', 'kept', 'liaison', 'limousines', 'line', 'living', 'main', 'main', 'main', 'man', 'marshal', 'marshal', 'marshal', 'marshal', 'marshal', 'marshal', 'marshal', 'marshal', 'marshal', 'marshal', 'meeting', 'metres', 'mocking', 'moustache', 'movement', 'need', 'need', 'never', 'nightjars', 'noon', 'office', 'officers', 'old', 'old', 'older', 'omens', 'onwards', 'park', 'park', 'place', 'played', 'premier', 'premier', 'premier', 'premier', 'premier', 'quiet', 'read', 'reassurance', 'right', 'road', 'robins', 'salute', 'sat', 'sat', 'second', 'secretly', 'seeking', 'seen', 'semifriends', 'senlis', 'siding', 'sixty', 'sleepy', 'soldiers', 'soldiers', 'spent', 'spite', 'staff', 'staff', 'steps', 'symbol', 'take', 'taste', 'tell', 'tell', 'terraces', 'therefore', 'throw', 'tone', 'train', 'train', 'trains', 'trains', 'tree', 'two', 'used', 'vanity', 'visit', 'wanted', 'watch', 'wednesday', 'went', 'without', 'womanhood']
uc1.b000552199	12	['accuracy', 'admitted', 'afraid', 'agents', 'agents', 'aghast', 'always', 'always', 'always', 'amongst', 'area', 'army', 'awake', 'awakening', 'back', 'ball', 'bandagerolling', 'best', 'bluff', 'busy', 'called', 'came', 'car', 'case', 'castelnau', 'cent', 'certainly', 'clearing', 'clemenceau', 'clemenceau', 'closer', 'collar', 'come', 'committee', 'crowd', 'day', 'deftly', 'determination', 'difference', 'differences', 'dream', 'dream', 'dreamt', 'driven', 'early', 'emperor', 'end', 'feed', 'fervour', 'find', 'fixing', 'foreheads', 'forests', 'forests', 'fortified', 'found', 'future', 'good', 'got', 'group', 'head', 'heartily', 'however', 'idea', 'identify', 'informally', 'intangible', 'interior', 'kaiser', 'kaiser', 'kaiser', 'kicking', 'laughed', 'line', 'lined', 'long', 'lorraine', 'man', 'marshal', 'marshal', 'marshal', 'marshal', 'marshal', 'marshal', 'matrons', 'matter', 'may', 'military', 'money', 'morning', 'never', 'next', 'normal', 'norway', 'noticed', 'oddly', 'offensive', 'office', 'old', 'one', 'paid', 'paid', 'paris', 'paris', 'pinned', 'place', 'placed', 'premier', 'presumed', 'pronouncement', 'queen', 'queue', 'quite', 'rags', 'reason', 'reminded', 'rest', 'restaurant', 'resting', 'ribbons', 'rich', 'rose', 'rose', 'salute', 'saw', 'schnapps', 'screaming', 'seated', 'seem', 'sell', 'sell', 'senate', 'sleep', 'soldiers', 'soldiers', 'soldiers', 'somehow', 'something', 'soon', 'spa', 'station', 'stopped', 'story', 'summer', 'suppose', 'suppose', 'suspected', 'table', 'tangible', 'task', 'three', 'three', 'time', 'touched', 'town', 'train', 'train', 'trains', 'transhipped', 'trees', 'us', 'value', 'waiter', 'waiters', 'waiters', 'walking', 'war', 'woke', 'worked', 'worked', 'yes', 'young']
