htid	page_number	page_tokens
uc1.c046599508	1	['b', 'black', 'comedy', 'e', 'e', 'f', 'fischer', 'frog', 'h', 'k', 'n', 'n', 'polygon', 'r', 'r', 'r', 'tibor', 'w', 'w']
uc1.c046599508	2	[]
uc1.c046599508	3	[]
uc1.c046599508	4	[]
uc1.c046599508	5	['account', 'ann', 'arse', 'avoidance', 'basketball', 'believable', 'best', 'book', 'born', 'brilliant', 'british', 'cambridge', 'came', 'chaos', 'clever', 'coalmine', 'commentary', 'communism', 'courtesy', 'cover', 'debut', 'delicate', 'design', 'educated', 'energetic', 'eric', 'experience', 'expression', 'exuberant', 'fischer', 'fischer', 'follows', 'fortunes', 'frog', 'frog', 'full', 'funny', 'funny', 'funny', 'funny', 'glorious', 'good', 'guardian', 'gyuri', 'humane', 'hungarian', 'hungarian', 'hungarians', 'hungary', 'hungary', 'independent', 'independent', 'intimate', 'jokes', 'journalist', 'leading', 'leading', 'lessing', 'life', 'life', 'magnum', 'men', 'money', 'moving', 'new', 'novel', 'novelists', 'oblique', 'october', 'one', 'original', 'owed', 'parents', 'part', 'pataki', 'paterson', 'personal', 'photograph', 'place', 'politicians', 'pursuit', 'regime', 'revolution', 'ross', 'rushdie', 'sad', 'salman', 'selected', 'seriocomic', 'set', 'several', 'sex', 'sharp', 'society', 'spectator', 'statesman', 'stockport', 'story', 'sunday', 'survive', 'swear', 'team', 'team', 'text', 'tibor', 'tibor', 'times', 'totalitarian', 'travelling', 'treasure', 'truly', 'two', 'uproariously', 'witty', 'work', 'works', 'world', 'worst', 'wrongly', 'years', 'young', 'young']
uc1.c046599508	6	['fought', 'hungary']
uc1.c046599508	7	['edinburgh', 'fischer', 'frog', 'polygon', 'tibor']
uc1.c046599508	8	['accordance', 'acknowledges', 'act', 'arts', 'arts', 'asserted', 'author', 'books', 'bound', 'britain', 'british', 'c', 'cataloguing', 'combined', 'copyright', 'council', 'da', 'data', 'designs', 'edinburgh', 'edinburgh', 'f', 'fischer', 'fischer', 'fischer', 'frog', 'george', 'great', 'identified', 'isbn', 'library', 'main', 'patents', 'polygon', 'printed', 'publication', 'publication', 'published', 'publisher', 'redwood', 'reprinted', 'right', 'sabon', 'scottish', 'set', 'square', 'subsidy', 'tibor', 'tibor', 'tibor', 'title', 'towards', 'trowbridge', 'volumc', 'wiltshire', 'work']
uc1.c046599508	9	['august', 'august', 'contents', 'december', 'january', 'july', 'november', 'november', 'october', 'october', 'september', 'september', 'september', 'º', 'ºtº', 'ſ']
uc1.c046599508	10	[]
