htid	page_number	page_tokens
uiug.30112013006090	1	[]
uiug.30112013006090	2	['lº', 'lºº', 'urbanachampaign']
uiug.30112013006090	3	['account', 'action', 'books', 'bound', 'center', 'charging', 'choosing', 'circlib', 'date', 'disciplinary', 'dismissal', 'due', 'fee', 'illinois', 'inks', 'item', 'journals', 'library', 'library', 'lift', 'lost', 'material', 'may', 'may', 'minimum', 'mutilation', 'note', 'notes', 'online', 'option', 'pages', 'person', 'please', 'reasons', 'renew', 'renew', 'renewal', 'responsible', 'result', 'result', 'return', 'telephone', 'theft', 'torn', 'u', 'underlining', 'university', 'university', 'university', 'via', 'ºf']
uiug.30112013006090	4	[]
uiug.30112013006090	5	['ae']
uiug.30112013006090	6	[]
uiug.30112013006090	7	['author', 'bay', 'bilgewater', 'days', 'fair', 'funeral', 'hotel', 'long', 'pineapple', 'summer', 'verona', 'way']
uiug.30112013006090	8	[]
uiug.30112013006090	9	['company', 'gardam', 'jane', 'morrow', 'new', 'william', 'york']
uiug.30112013006090	10	['addressed', 'america', 'book', 'britain', 'card', 'catalog', 'company', 'congress', 'copyright', 'edition', 'electronic', 'first', 'first', 'form', 'gardam', 'great', 'great', 'hamilton', 'hamish', 'including', 'information', 'inquiries', 'isbn', 'jane', 'library', 'limited', 'london', 'madison', 'may', 'means', 'mechanical', 'morrow', 'new', 'number', 'part', 'permission', 'photocopying', 'printed', 'pt', 'published', 'publisher', 'recording', 'reproduced', 'reserved', 'retrieval', 'rights', 'russell', 'states', 'storage', 'street', 'system', 'united', 'utilized', 'william', 'without', 'writing', 'york']
uiug.30112013006090	11	['gilled', 'grateful', 'memory', 'paul', 'scott']
uiug.30112013006090	12	[]
uiug.30112013006090	13	[]
uiug.30112013006090	14	[]
uiug.30112013006090	15	['afternoon', 'arched', 'attention', 'baby', 'bag', 'better', 'bexhill', 'birds', 'black', 'blinds', 'blotchy', 'bournemouth', 'breathe', 'buttered', 'buttoned', 'carriage', 'carriage', 'changed', 'cliff', 'close', 'coach', 'coarse', 'come', 'comfortable', 'course', 'decidedly', 'door', 'dusty', 'eastkirk', 'eastkirk', 'eastkirk', 'eastkirk', 'edge', 'eight', 'either', 'ends', 'faintly', 'first', 'foreign', 'front', 'given', 'go', 'gulls', 'hard', 'hear', 'home', 'intervals', 'knew', 'leather', 'like', 'like', 'liked', 'line', 'line', 'long', 'long', 'long', 'lydia', 'lydia', 'lydia', 'lydia', 'lydia', 'maid', 'margaret', 'margaret', 'margaret', 'margaret', 'margaret', 'material', 'maybe', 'meant', 'mirror', 'money', 'mother', 'mother', 'narrow', 'nice', 'one', 'open', 'paper', 'picture', 'pictures', 'places', 'ran', 'red', 'saltbeach', 'sands', 'sea', 'seat', 'seat', 'side', 'side', 'side', 'single', 'single', 'sleepy', 'slowly', 'special', 'stiff', 'stood', 'stopped', 'strap', 'teacakes', 'therefore', 'thought', 'thus', 'tongue', 'took', 'track', 'track', 'train', 'train', 'train', 'twirled', 'two', 'usually', 'walk', 'way', 'wednesday', 'wednesdays', 'went', 'wherever', 'whole', 'window', 'woodland', 'woods']
