htid	page_number	page_tokens
uva.x004833056	1	[]
uva.x004833056	2	[]
uva.x004833056	3	[]
uva.x004833056	4	[]
uva.x004833056	5	['history', 'short', 'tractors', 'ukrainian']
uva.x004833056	6	[]
uva.x004833056	7	['books', 'history', 'imprint', 'lewycka', 'marina', 'penguin', 'short', 'tractors', 'ukrainian', 'viking']
uva.x004833056	8	['actual', 'africa', 'africa', 'airborne', 'albany', 'alcom', 'asserted', 'auckland', 'australia', 'australia', 'australia', 'author', 'author', 'available', 'avenue', 'avenue', 'book', 'book', 'books', 'books', 'books', 'books', 'books', 'britain', 'british', 'bury', 'camberwell', 'camberwell', 'canada', 'canada', 'canada', 'catalogue', 'centre', 'characters', 'cip', 'clays', 'cnr', 'coincidental', 'community', 'copyright', 'copyright', 'copyright', 'dante', 'dead', 'delhi', 'division', 'division', 'division', 'division', 'dublin', 'edmunds', 'electronic', 'england', 'england', 'entirely', 'fiction', 'first', 'form', 'great', 'green', 'group', 'group', 'group', 'group', 'group', 'group', 'hb', 'hudson', 'imagination', 'incidents', 'india', 'india', 'introduced', 'ireland', 'ireland', 'isbn', 'ives', 'jsbn', 'lewycka', 'library', 'limiting', 'living', 'london', 'london', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'ltd', 'marina', 'may', 'means', 'mechanical', 'monotype', 'moral', 'names', 'new', 'new', 'new', 'new', 'new', 'nz', 'offices', 'ontario', 'orl', 'orl', 'otherwise', 'owner', 'panchsheel', 'park', 'part', 'pbk', 'pearson', 'pearson', 'pearson', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'penguin', 'permission', 'persons', 'photocopying', 'phototypesetting', 'pic', 'printed', 'prior', 'product', 'pry', 'pt', 'pty', 'publication', 'published', 'published', 'publisher', 'pvt', 'record', 'recording', 'registered', 'reproduced', 'resemblance', 'reserved', 'reserved', 'retrieval', 'right', 'rights', 'rights', 'road', 'roads', 'rosebank', 'rosedale', 'rowland', 'set', 'south', 'south', 'st', 'st', 'st', 'stephen', 'stored', 'strand', 'strand', 'street', 'sturdee', 'suffolk', 'system', 'toronto', 'transmitted', 'typeset', 'usa', 'usa', 'victoria', 'viking', 'without', 'without', 'work', 'written', 'york', 'york', 'zealand', 'zealand']
uva.x004833056	9	['dave', 'sonia']
uva.x004833056	10	[]
uva.x004833056	11	['acknowledgements', 'advice', 'aeronautics', 'alison', 'annan', 'anonymous', 'back', 'bill', 'book', 'cat', 'chapters', 'chris', 'comments', 'contributed', 'delight', 'died', 'due', 'encouragement', 'especially', 'eveline', 'family', 'finally', 'first', 'four', 'friends', 'glaister', 'good', 'grammar', 'grateful', 'hamilton', 'heath', 'help', 'helpful', 'history', 'history', 'house', 'included', 'indebted', 'inspiration', 'internet', 'jane', 'juliet', 'kindness', 'last', 'lesley', 'lessware', 'like', 'list', 'livi', 'lovely', 'making', 'many', 'many', 'many', 'michael', 'moyers', 'neglect', 'often', 'particularly', 'patience', 'patrick', 'penguin', 'people', 'perkins', 'postings', 'provided', 'rogers', 'sarah', 'scott', 'sound', 'subject', 'suggestions', 'tessa', 'text', 'thank', 'thanks', 'thanks', 'thanks', 'totnes', 'tractor', 'tyldesley', 'viking', 'white', 'whose', 'whose', 'without', 'work', 'writers', 'written']
uva.x004833056	12	[]
