filename,title
coo.31924105504561,The pickup 
hvd.32044121366223,Cloud atlas : a novel 
inu.30000042059158,Rumours of rain.
inu.30000109857304,The ruby in her navel : a novel of love and intrigue in the twelfth cenury 
inu.30000110568908,The lost dog 
inu.30000118997943,The birds on the trees.
mdp.39015000235500,Heat and dust 
mdp.39015000519044,Loitering with intent 
mdp.39015000609571,The public image.
mdp.39015000655095,The conservationist 
mdp.39015001667693,The bay of noon; a novel.
mdp.39015001788549,Praxis : a novel 
mdp.39015002334871,No country for young men 
mdp.39015002704909,Staying on : a novel 
mdp.39015002824400,Briefing for a descent into Hell [by] Doris Lessing.
mdp.39015003343244,The bookshop 
mdp.39015003837377,A fairly honourable defeat.
mdp.39015003837393,Bruno's dream.
mdp.39015004038900,An ice-cream war
mdp.39015004151679,Down all the days.
mdp.39015004213610,The white hotel 
mdp.39015004264456,The black prince.
mdp.39015005023232,Quartet in autumn 
mdp.39015005084028,A place in England.
mdp.39015005249142,The nice and the good.
mdp.39015005325710,"The Sirian experiments : the report by Ambien II, of the Five "
mdp.39015005495315,Good behaviour 
mdp.39015005723229,Rates of exchange 
mdp.39015007045860,Hotel du Lac 
mdp.39015008032982,St. Urbain's horseman; a novel.
mdp.39015008224514,"Troubles, by J. G. Farrell."
mdp.39015008307038,A month in the country 
mdp.39015008468418,An instant in the wind 
mdp.39015008829262,A little of what you fancy [by] H. E. Bates.
mdp.39015008830088,Sour sweet 
mdp.39015008932587,Flying to nowhere : a tale 
mdp.39015008940747,"Eva Trout; or, Changing scenes."
mdp.39015008982889,Confederates 
mdp.39015010229600,Clear light of day 
mdp.39015010309220,The comfort of strangers 
mdp.39015010333279,What's bred in the bone 
mdp.39015010346792,The good terrorist 
mdp.39015010521857,A domestic animal 
mdp.39015010838269,In their wisdom 
mdp.39015011007211,Saville 
mdp.39015011899203,The bird of night.
mdp.39015012970466,Chatterton 
mdp.39015013124279,Moon tiger 
mdp.39015013254654,Pasmore. -
mdp.39015013428324,Rising 
mdp.39015013430312,Silence among the weapons : some events at the time of the failure of a republic 
mdp.39015013948230,Empire of the Sun : a novel 
mdp.39015014147816,Earthly powers 
mdp.39015014519154,The dressmaker.
mdp.39015014575883,The book of evidence 
mdp.39015014875929,A disaffection 
mdp.39015015401956,The hand-reared boy [by] Brian W. Aldiss.
mdp.39015015451936,Jigsaw. : an unsentimental education: a biographical novel
mdp.39015015528485,Solomon Gursky was here 
mdp.39015016208335,A five year sentence 
mdp.39015016453097,"John Brown's body, by A. L. Barker."
mdp.39015017431738,Knowledge of angels 
mdp.39015018478829,Utz 
mdp.39015018983414,The gate of angels 
mdp.39015019119463,Mrs. Eckdorf in O'Neill's Hotel.
mdp.39015019442196,Restoration : a novel of seventeenth-century England 
mdp.39015020732965,Waterland 
mdp.39015021844843,The redundancy of courage 
mdp.39015024903364,The van 
mdp.39015024974605,Such a long journey 
mdp.39015026940091,Sacred hunger 
mdp.39015028744871,The beginning of spring 
mdp.39015029172999,Serenity House 
mdp.39015030760519,Holiday.
mdp.39015030848892,Peter Smart's confessions 
mdp.39015030851813,Great Granny Webster 
mdp.39015032207311,Reef 
mdp.39015032439906,Paradise 
mdp.39015033096317,Black dogs 
mdp.39015034115140,The bottle factory outing 
mdp.39015034226228,The folding star 
mdp.39015037453761,Morality play 
mdp.39015038920172,Anthills of the Savannah 
mdp.39015040123005,Pascali's island 
mdp.39015040178751,Master Georgie 
mdp.39015040179098,Grace notes 
mdp.39015040179114,The essence of the thing 
mdp.39015040678529,The orchard on fire : a novel 
mdp.39015040702071,Alias Grace 
mdp.39015043101354,Amsterdam 
mdp.39015043129975,"England, England "
mdp.39015043790321,The restraint of beasts : a novel 
mdp.39015046356104,Shadows on our skin 
mdp.39015046425693,Shame 
mdp.39015046832427,Out of the shelter.
mdp.39015046867852,The satanic verses 
mdp.39015046902329,Breakfast on Pluto 
mdp.39015047111136,Quarantine 
mdp.39015047458123,The industry of souls 
mdp.39015047518660,"Fasting, feasting "
mdp.39015049860060,The big chapel 
mdp.39015050498065,Hotel world 
mdp.39015050511990,Fairness 
mdp.39015050532350,Dogside story 
mdp.39015050713976,In custody 
mdp.39015050742256,The Leto bundle 
mdp.39015050761553,Shamrock tea 
mdp.39015050801789,Translated accounts : a novel 
mdp.39015051280942,How to be good 
mdp.39015053039205,If the invader comes 
mdp.39015053111947,Half a life 
mdp.39015053778448,Wolfy and the strudelbakers 
mdp.39015054074037,The god of small things 
mdp.39015054102655,The English patient : a novel 
mdp.39015054103299,"Paddy Clarke, ha-ha-ha "
mdp.39015054152338,The beggar maid : stories of Flo and Rose 
mdp.39015054164283,Bitter fruit : a novel 
mdp.39015054377612,Who's sorry now 
mdp.39015054402808,The Mulberry Empire : or the two virtuous journeys of the Amir Dost Mohammed Khan 
mdp.39015055165727,Nice work 
mdp.39015055165735,Small world : an academic romance 
mdp.39015055799897,The strange case of Dr Simmonds & Dr Glas 
mdp.39015055800000,To the last city 
mdp.39015055804226,Peacetime 
mdp.39015055804275,The next big thing 
mdp.39015055810629,Our fathers 
mdp.39015055858396,The story of Lucy Gault 
mdp.39015055859634,The autograph man 
mdp.39015056229316,Atonement 
mdp.39015056271888,Fingersmith 
mdp.39015056302980,"Jazz, etc "
mdp.39015056675856,A distant shore 
mdp.39015056675864,Heligoland 
mdp.39015056885810,Notes on a scandal 
mdp.39015056890430,The stone carvers 
mdp.39015056907200,Judge Savage 
mdp.39015057013867,Something might happen 
mdp.39015057591474,Yellow dog 
mdp.39015057604327,The nick of time 
mdp.39015057644737,Purple hibiscus : a novel 
mdp.39015058132781,Snowleg 
mdp.39015058209969,Always the sun 
mdp.39015059168727,I'll go to bed at noon 
mdp.39015059246804,All for love 
mdp.39015059247075,Saturday 
mdp.39015059961089,Astonishing splashes of colour 
mdp.39015059975840,The taxi driver's daughter 
mdp.39015059975865,Waxwings 
mdp.39015059982085,The good doctor 
mdp.39015060026674,Elizabeth Costello 
mdp.39015060124230,Sixty lights 
mdp.39015060124412,Clear : a transparent novel 
mdp.39015060589291,The harmony silk factory 
mdp.39015060827626,Beyond black 
mdp.39015061186386,The people's act of love 
mdp.39015061327717,Unnumbered 
mdp.39015061442961,The stone diaries 
mdp.39015061446996,The curious incident of the dog in the night-time 
mdp.39015062087070,Brick Lane 
mdp.39015062113140,The Moor's last sigh 
